tag depth1 depth2 depth3 depth4 depth5 depth6 depth7 depth8 raw after_filter total
w_filters_m20 21 37 47 8 NULL NULL NULL NULL 113 71 3
w_filters_m20 54 35 112 29 8 NULL NULL NULL 238 178 3
w_filters_m20 49 35 32 14 8 NULL NULL NULL 138 83 3
w_filters_m20 39 41 25 13 0 NULL NULL NULL 118 81 3
w_filters_m20 38 51 38 13 22 28 5 5 200 113 0
w_filters_m20 125 104 90 47 37 32 9 0 444 236 3
w_filters_m20 78 59 44 37 9 0 NULL NULL 227 144 3
w_filters_m20 6 5 8 13 10 NULL NULL NULL 42 31 3
w_filters_m20 40 55 40 24 28 20 4 1 212 131 3
w_filters_m20 25 31 21 22 14 5 5 3 126 84 0
w_filters_m20 32 31 49 77 23 6 NULL NULL 218 118 3
w_filters_m20 57 35 60 39 11 1 NULL NULL 203 128 3
w_filters_m20 40 36 40 11 NULL NULL NULL NULL 127 78 3
w_filters_m20 58 45 39 5 1 NULL NULL NULL 148 89 3
w_filters_m20 45 43 19 4 NULL NULL NULL NULL 111 60 5
w_filters_m20 23 37 22 19 18 25 6 2 152 69 9
w_filters_m20 39 71 49 38 25 25 11 2 260 97 9
w_filters_m20 18 41 32 17 15 26 1 3 153 64 9
w_filters_m20 1 16 22 11 12 29 2 4 97 60 8
w_filters_m20 0 4 9 5 14 18 5 5 60 47 1
w_filters_m20 1 21 26 7 15 23 6 3 102 68 8
w_filters_m20 6 26 43 36 41 26 28 3 209 52 3
w_filters_m20 4 22 40 34 34 34 22 6 196 52 3
w_filters_m20 2 19 29 26 32 22 13 8 151 46 3
w_filters_m20 80 47 26 5 NULL NULL NULL NULL 158 72 6
w_filters_m20 41 32 36 31 23 4 0 NULL 167 70 6
w_filters_m20 38 39 39 24 4 0 NULL NULL 144 75 6
w_filters_m20 17 21 38 54 19 1 NULL NULL 150 75 3
w_filters_m20 24 17 18 47 15 3 NULL NULL 124 61 3
w_filters_m20 46 51 52 37 12 29 11 0 238 72 3
w_filters_m20 20 27 21 14 5 23 8 7 125 63 3
w_filters_m20 30 49 34 43 27 25 6 4 218 98 3
w_filters_m20 41 68 39 54 33 31 13 4 283 104 3
w_filters_m20 23 25 22 51 53 24 1 NULL 199 86 3
w_filters_m20 18 24 36 41 33 12 NULL NULL 164 93 3
w_filters_m20 25 13 17 37 28 14 NULL NULL 134 113 1
w_filters_m20 13 18 32 22 6 NULL NULL NULL 91 85 1
w_filters_m20 9 16 29 22 8 3 NULL NULL 87 46 3
w_filters_m20 29 40 30 5 2 NULL NULL NULL 106 48 3
w_filters_m20 19 15 11 4 1 NULL NULL NULL 50 30 0
w_filters_m20 19 18 40 18 4 2 NULL NULL 101 52 3
w_filters_m20 16 21 26 3 NULL NULL NULL NULL 66 34 2
w_filters_m20 24 24 28 8 9 NULL NULL NULL 93 62 3
w_filters_m20 22 34 43 16 8 NULL NULL NULL 123 78 3
w_filters_m20 22 18 32 24 4 NULL NULL NULL 100 79 2
w_filters_m20 73 52 44 14 25 4 1 NULL 213 73 9
w_filters_m20 93 82 81 47 16 23 11 4 357 93 9
w_filters_m20 101 87 90 50 12 23 11 4 378 94 9
w_filters_m20 89 78 53 51 12 26 7 3 319 81 9
w_filters_m20 44 74 51 40 14 23 3 1 250 73 9
w_filters_m20 39 71 48 23 3 13 3 1 201 72 9
w_filters_m20 4 43 44 26 10 7 3 0 137 53 9
w_filters_m20 4 43 46 29 9 8 2 0 141 54 9
w_filters_m20 0 24 28 7 13 6 1 0 79 41 9
w_filters_m20 0 4 1 1 6 1 1 0 14 13 0
w_filters_m20 75 69 79 44 26 30 4 1 328 84 9
w_filters_m20 82 81 91 53 17 27 4 6 361 92 8
w_filters_m20 21 33 10 13 14 7 1 0 99 65 9
w_filters_m20 27 47 19 20 20 12 4 0 149 107 9
w_filters_m20 57 86 86 53 51 24 12 2 371 212 9
w_filters_m20 48 69 46 33 40 16 10 0 262 169 9
w_filters_m20 29 56 57 29 42 18 8 1 240 158 9
w_filters_m20 42 67 43 29 40 24 13 0 258 164 9
w_filters_m20 41 45 24 22 31 17 7 0 187 116 9
w_filters_m20 29 43 30 16 41 20 12 2 193 135 9
w_filters_m20 33 34 21 18 37 28 12 2 185 135 9
w_filters_m20 54 49 12 21 4 1 NULL NULL 141 60 9
w_filters_m20 54 17 25 3 0 NULL NULL NULL 99 54 8
w_filters_m20 88 62 46 10 29 7 3 NULL 245 82 9
w_filters_m20 75 47 14 31 6 3 NULL NULL 176 64 9
w_filters_m20 51 18 30 6 4 NULL NULL NULL 109 64 9
w_filters_m20 41 43 24 13 6 3 0 NULL 130 56 9
w_filters_m20 52 27 10 6 4 0 NULL NULL 99 41 9
w_filters_m20 4 37 35 18 10 8 1 1 114 52 7
w_filters_m20 34 66 37 20 4 4 2 0 167 45 10
w_filters_m20 33 65 37 21 6 5 2 0 169 51 9
w_filters_m20 25 50 36 24 3 2 1 0 141 33 9
w_filters_m20 12 36 28 12 4 1 0 1 94 27 8
w_filters_m20 11 39 31 13 6 4 1 0 105 41 10
w_filters_m20 40 52 33 16 3 4 9 1 158 44 9
w_filters_m20 37 55 36 26 6 5 4 1 170 48 9
w_filters_m20 29 38 24 14 4 3 3 0 115 31 8
w_filters_m20 16 44 24 10 4 5 3 0 106 44 10
w_filters_m20 24 38 27 13 7 2 2 1 114 35 7
w_filters_m20 36 54 37 22 4 2 1 2 158 35 8
w_filters_m20 4 13 5 1 5 0 1 1 30 20 3
